Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,SC,2023,11,Female,17,Right-Handed,5'2,150,160,1,Car,15,0.429,40,Skateboarding/Rollerblading,1000,100,200,300,10,1000,150,Same length,460,380,Index finger,February,Fall,Yes,No,Pizza/Pasta,Soft drink (caffeinated),English,8,8,5,Yes - other,Text messaging,138,101,24,10,3,72,1,0,1,10,10,1,0,3,A lot,Some college,Other,Fly,Happy,Relative,"Wildlife, animals"
USA,NC,2023,10,Male,15,Right-Handed,178,12,61,1,Bus,30,0.289,39,Athletics,542,580,460,512,540,440,12,Same length,102,127,Ring finger,June,Summer,No,No,Meat,Water,Mathematics and statistics,7,8,3,Yes - other,,8,6,2,4,10,10,17,10,2,2,3,3,6,2,Some,Other,Rap/Hip hop,,Healthy,Relative,Religious
USA,VT,2023,12,Female,16,Right-Handed,160,24,,1,Bus,45,0.473,47,Swimming,950,900,950,850,500,700,24,Same length,,,Index finger,October,Fall,No,No,Rice/Noodle dishes,Water,English,7,10,4,Yes - broadband connection,In person,0,0,6,2,1,12,4,0,3,6,10,7,3,6,A lot,Graduate degree,Punk rock,Invisibility,Happy,Actor,International aid
USA,WA,2023,11,Male,17,Right-Handed,177.8,27.9,70,1,Bus,20,0.416,55,Football (American),1000,850,800,800,500,600,27.4,Right foot,75,80,Ring finger,December,Winter,No,No,Rice/Noodle dishes,Soft drink (caffeinated),History,7.5,8.5,5,Yes - broadband connection,Cell phone,10,8,0.5,0.25,0.5,0.75,3,1,2,0.5,0.5,1.5,0,1,Some,High school,Rap/Hip hop,Invisibility,Rich,Actor,Health
USA,NY,2023,12,Male,18,Right-Handed,168,22,170,1,Rail (Train/Tram/Subway),50,0.324,36,Other,650,650,850,700,850,850,21,Right foot,75,81,Ring finger,March,Fall,No,No,Rice/Noodle dishes,Water,Computers and technology,6,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,20,8,0.15,20,4,4,15,0,15,30,0,0,5,Some,Graduate degree,Other,Freeze time,Rich,Other,Education/Youth development
USA,VA,2023,12,Female,16,Right-Handed,175.2,25.4,27.94,1,Car,35,453,48,Athletics,663,,,,,,,Right foot,,,Ring finger,October,Summer,No,No,Meat,Water,English,8,9,3,Yes - broadband connection,Text messaging,100,200,2,30,72,6,15,2,2,84,84,8,0,4,Some,Some college,,Freeze time,Rich,Musician or singer,Education/Youth development
USA,AZ,2023,12,Female,17,Right-Handed,"5'6""",9 1/2,"5'6""",1,Car,10,0.395,42,None,800,800,500,500,300,400,9 1/2,Same length,"2""","2""",Same length,July,Fall,No,No,Rice/Noodle dishes,Milk,Science,8-May,6-Apr,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",400,400,a lot,a lot,2-Jan,3-Feb,1,1,a lot,a lot,a lot,a lot,16,3-Feb,Some,Other,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,AL,2023,12,Female,18,Right-Handed,160,18,157,1,Car,17,0.4,40,Walking/Hiking,48,604,64,112,626,952,19,Left foot,60,70,Ring finger,December,Summer,Yes,No,Pizza/Pasta,Juice,English,7,10,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",120,155,15,20,2,26,10,0,60,6,35,38,28,3,Some,Graduate degree,Country,Telepathy,Happy,Doctor or nurse,Health
USA,SC,2023,12,Female,18,Right-Handed,160.2,24,155,2,Car,15,0.73,38,Walking/Hiking,1000,1000,508,583,45,30,23,Right foot,40,30,Index finger,January,Spring,No,No,Rice/Noodle dishes,Water,Art,7,8,3,Yes - other,Text messaging,50,70,12,30,4,8,23,2,17,4,17,3,23,3,Some,Graduate degree,Rhythm and blues (R&B),Fly,Healthy,Relative,Health
USA,NC,2023,11,Male,16,Right-Handed,187,28,194,1,Car,6,0.288,38,Baseball/Softball,500,650,500,700,650,700,28,Same length,100,100,Same length,July,Summer,No,No,Poultry,Water,History,7,8,4,Yes - broadband connection,Text messaging,50,40,15,1,5,15,15,10,10,5,20,20,0,5,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,NC,2023,11,Female,15,Ambidextrous,148,21,117,3,Bus,60,0.323,29,Dancing,500,5,5,800,1000,1000,20,Right foot,70,60,Index finger,August,Fall,Yes,No,Pizza/Pasta,Water,History,5-Apr,3-Feb,5,Yes - other,Internet chat or instant messaging,540,600,2,9,40,96,50,20,6,3,56,60,2,7,A lot,Graduate degree,Punk rock,Telepathy,Rich,Musician or singer,"Wildlife, animals"
USA,WA,2023,12,Male,18,Right-Handed,90,25,83,1,Car,5,0.304,36,Walking/Hiking,765,749,674,439,203,503,25,Same length,8,9,Ring finger,December,Winter,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Mathematics and statistics,4,10,4,Yes - other,Internet chat or instant messaging,3,4,5,0,1,7,0,60,0,3,60,0,0,0,A lot,High school,Other,Freeze time,Happy,Relative,Health
USA,WA,2023,11,Male,16,Right-Handed,175,,,1,Car,5,0.36,40,Other,950,700,500,400,idk,idk,,,,,,March,Summer,Yes,No,Meat,Energy drink,Other,5.5,8,5,Yes - broadband connection,Text messaging,69,69,idk,idk,0,idk,idk,idk,idk,idk,idk,idk,idk,idk,Very little,Other,Rock and roll,Freeze time,Rich,Other,"Wildlife, animals"
USA,GA,2023,12,Female,18,Right-Handed,5'3,8,5'2,1,Car,8 min,0.67,46,Athletics,936,1000,824,444,326,1000,6,Same length,5,4,Index finger,December,Winter,No,No,Seafood,Water,Science,6,8,7,Yes - other,Text messaging,100,100,6,10,0,24/7,24/7,0,24/7,24/7,24/7,0,24/7,24/7,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Teacher,Health
USA,NY,2023,10,Male,16,Right-Handed,193,28,190,3,Rail (Train/Tram/Subway),50,0.275,36,Basketball,556,513,749,888,952,781,28,Same length,85,83,Index finger,March,Spring,No,No,Poultry,Tea,History,6,9,4,Yes - broadband connection,In person,40,42,8,2,7,3,3,4,5,1,20,2,5,1,A lot,Some college,Rap/Hip hop,Freeze time,Happy,Sports person,International aid
USA,MS,2023,12,Female,17,Right-Handed,157,21,160,1,Car,3,0.49,50,Football (American),663,829,476,845,0,471,21,Same length,7,6.5,Ring finger,August,Summer,No,No,Meat,Water,Physical education,6,8,8,Yes - other,Text messaging,50,55,0,2,0,0,0,0,0,5,0,2,0,0,Very little,Graduate degree,Gospel,,Rich,Relative,Education/Youth development
USA,PA,2023,12,Male,17,Right-Handed,193,27,187,1,Car,15,0.506,50,Swimming,200,300,400,400,750,750,27,Same length,100,80,Index finger,May,Winter,Yes,No,Meat,Water,Other,8,10,3,Yes - broadband connection,Internet chat or instant messaging,3,2,2,2,4,4,4,4,4,1,6,6,0,6,Some,Undergraduate degree,Techno/Electronic,Invisibility,Rich,Business person,Health
USA,AK,2023,12,Male,18,Left-Handed,185,28,189,1,Car,10,0.353,34,Swimming,626,449,572,273,765,1000,27,Right foot,107,107,Same length,August,Fall,No,No,Poultry,Water,Computers and technology,6,8,4,Yes - broadband connection,In person,3,4,12,1,4,1,1,10,5,1,40,5,0,1,Some,Graduate degree,Techno/Electronic,Super strength,Rich,Relative,Environment
USA,CA,2023,9,Female,14,Right-Handed,170,25,159,2,Car,8,0.389,42,Other,497,658,567,422,267,471,25,Same length,70,73,Ring finger,August,Winter,No,No,Seafood,Other,Languages,7,11,4,Yes - other,Text messaging,90,120,15,35,15,28,8,4,15,3,35,16,0,7,Some,Other,Rap/Hip hop,Telepathy,Rich,Relative,Health
USA,PA,2023,10,Female,15,Right-Handed,,,,1,Walk,10,,,Swimming,200,200,200,400,900,900,,Left foot,,,Index finger,July,Summer,No,No,Fruit,Water,Art,7,12,8,Yes - broadband connection,Cell phone,2,5,6,4,1,15,1,0,0,1,0,0,17,3,Very little,Some college,Other,Telepathy,Happy,Friend,Health
USA,NY,2023,10,Female,16,Right-Handed,172,24,173,2,Rail (Train/Tram/Subway),30,0.5,45,Swimming,1000,700,700,1000,900,900,23,Same length,115,112,Index finger,March,Spring,No,No,Seafood,Water,Science,6,12,8,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",300,500,5,1,7,10,0,15,8,8,67,5,0,0,Some,Graduate degree,Other,Telepathy,Healthy,Other,Environment
USA,NY,2023,12,Female,16,Right-Handed,155,21,144,1,Bus,20,0.335,35,Other,856,818,690,791,802,872,20,Right foot,7.4,7.7,Ring finger,June,Fall,Yes,No,No favorite,Water,Mathematics and statistics,7,9,5,Yes - other,Text messaging,250,500,14,3,15,1,0,1,10,2,22,20,0.5,0.5,A lot,Undergraduate degree,Other,Telepathy,Happy,Relative,Health
USA,WA,2023,11,Male,16,Right-Handed,180,24,176,2,Bus,10,0.333,60,Other,700,750,850,800,800,800,24,Same length,8,8,Same length,July,Spring,No,No,Meat,Soft drink (caffeinated),Other,8,10,6,Yes - other,Cell phone,100,100,7,1,1,14,35,21,35,35,14,5,18,5,A lot,Other,Rap/Hip hop,Super strength,Rich,Other,Health
USA,CA,2023,12,Female,17,Right-Handed,171,25.4,177,2,Car,20,0.362,36,Athletics,519,524,599,535,492,460,24.13,Right foot,73,75,Ring finger,July,Summer,No,No,Pizza/Pasta,Water,History,7,9,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,26,0,1,8,15,2,0,4,1,20,7,5,3,Some,Undergraduate degree,Rhythm and blues (R&B),Fly,Happy,Religious figure,"Wildlife, animals"
USA,NC,2023,12,Female,18,Right-Handed,160,21,63,1,Bus,10,0.561,58,Dancing,500,50,50,50,500,1000,22,Left foot,70,60,Index finger,January,Summer,Yes,No,Meat,Juice,Physical education,5,12,3,Yes - other,Text messaging,1000,1000,24,72,0,3,24,0,24,168,168,90,0,10,Some,Other,Rap/Hip hop,Telepathy,Rich,Actor,"Wildlife, animals"
USA,NJ,2023,12,Male,17,Right-Handed,183,25,183,2,Car,6,0.332,37,Soccer,100,650,950,600,800,1000,25,Same length,100,80,Same length,March,Summer,Yes,No,Seafood,Water,Music,7,9,5,Yes - broadband connection,Internet chat or instant messaging,50,100,20,1,5,4,10,6,6,1,4,8,8,2,Some,Undergraduate degree,Rap/Hip hop,Freeze time,Rich,Relative,Environment
USA,AL,2023,12,Male,17,Right-Handed,179,24,179,2,Car,25,0.257,32,Soccer,1000,1000,1000,1000,0,0,24,Same length,6,7,Ring finger,April,Winter,No,No,Meat,Water,Science,5,10,4,Yes - broadband connection,In person,50,50,8,0,0,0,0,0,4,4,2,24,0,0,Some,High school,Rap/Hip hop,Freeze time,Happy,Actor,Education/Youth development
USA,WA,2023,11,Male,16,Right-Handed,1,1,1,1,Walk,10,,0.689,Walking/Hiking,,,,,,l,1,Same length,1,1,Index finger,December,Winter,No,No,Meat,Water,Other,11-Oct,6,2,Yes - other,Text messaging,10,12-Oct,,,,,,,,,,,,,Very little,High school,Rap/Hip hop,Fly,Rich,Relative,Education/Youth development
USA,NY,2023,12,Female,17,Right-Handed,168,25,170,3,Walk,15,0.315,30,,700,600,500,300,150,200,23,Right foot,,,,January,Summer,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,7.5,9.25,5,Yes - broadband connection,In person,50,430,15,2,,,,,,,,,,,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Rich,,Health
USA,WA,2023,11,Female,17,Right-Handed,no,no,no,2,,40,0.327,38,Skateboarding/Rollerblading,449,472,749,904,75,364,no,Same length,uh,uh,Ring finger,October,Fall,Yes,Yes,Soups,Energy drink,Other,3,5,1,Yes - broadband connection,Internet chat or instant messaging,60?,200?,2,0,0,0,0,0,0,2,0,0,4,0,Very little,Graduate degree,Heavy metal,Telepathy,Rich,Friend,Education/Youth development
USA,CA,2023,12,Female,17,Right-Handed,160,23,154,1,Car,5,0.378,44,Swimming,500,500,500,500,500,1000,24,Left foot,73,71,Ring finger,March,Winter,No,No,Desserts,Water,Mathematics and statistics,6,5,4,Yes - broadband connection,Text messaging,20,20,1,0,10,2,1,10,20,20,30,1,0,3,Some,Graduate degree,,Telepathy,Happy,Relative,Health
USA,MI,2023,12,Female,17,Ambidextrous,170,243,160,1,Car,15,0.576,60,Other,1000,1000,989,989,294,439,243,Same length,80,75,Index finger,January,Fall,Yes,No,Breads/Sandwiches,Juice,Music,4,6,4,Yes - other,Cell phone,10,8,2,4,24,10,1,2,2,12,24,3,0,4,A lot,,Gospel,Invisibility,Happy,Relative,"Wildlife, animals"
USA,FL,2023,12,Male,17,Right-Handed,183,28,191,3,Walk,2,0.6,45,Soccer,4,3,4,3,4,10,28,Same length,85,90,Ring finger,April,Winter,No,No,Meat,Soft drink (caffeinated),English,8,11,3,Yes - other,Internet chat or instant messaging,100,100,16,10,10,0,18,0,6,7,49,0,0,0,Some,Graduate degree,Other,Super strength,Happy,Business person,Health
USA,SC,2023,11,Female,34,Right-Handed,5'7,9,32,1,Car,9 min,1.387,71,Walking/Hiking,701,615,930,631,749,1000,9,Same length,30,30,Index finger,January,Winter,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Science,5,5,5,Yes - broadband connection,Text messaging,3,4,0,4,2,3,0,0,4,1,4,1,3,2,Some,Some college,Punk rock,Freeze time,Happy,Musician or singer,"Wildlife, animals"
USA,NY,2023,11,Female,17,Right-Handed,5'4,23,160,4,Rail (Train/Tram/Subway),30,0.391,44,Basketball,1000,1000,1000,1000,500,500,24,Same length,67,70,Ring finger,March,Summer,No,No,Desserts,Water,Mathematics and statistics,7,8,6,Yes - broadband connection,Text messaging,100,100,20,2,10,20,6,0,6,10,10,0,0,6,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Religious figure,Religious
USA,NC,2023,11,Female,16,Right-Handed,160,25,155,1,Car,5,0.342,47,Other,497,487,294,321,930,963,25,Same length,83,79,Ring finger,April,Fall,No,No,Fruit,Water,English,7,8,4,Yes - broadband connection,Text messaging,50,70,12,4,6,5,3,0,11,3,20,6,13,5,Some,Graduate degree,Pop,Freeze time,Happy,Relative,Religious
USA,MN,2023,10,Male,15,Right-Handed,157.5,14.23,155.6,2,Bicycle,8,0.325,42,Cycling,813,588,417,412,578,733,14.23,Same length,5.64,5.97,Ring finger,July,Fall,Yes,No,Meat,Water,Computers and technology,9,11,4,Yes - broadband connection,Internet chat or instant messaging,10,12,3-Feb,2-Jan,1,5,6,5,1,1,4,1,10,2,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
USA,MD,2023,12,Male,18,Left-Handed,,28,,2,Car,15,0.715,58,Basketball,1000,1000,400,1000,600,1000,28,Same length,,,,December,Fall,No,No,Meat,Water,History,7,9,5,Yes - broadband connection,Text messaging,20,25,,,,,,,20,2,15,4,0,1,Some,Some college,Rock and roll,Fly,Rich,Other,Health
USA,TX,2023,12,Female,18,Left-Handed,163,18,159,1,Car,20,0.706,53,Soccer,900,500,500,500,800,1000,18,Same length,71,74,Ring finger,January,Spring,No,No,Meat,Water,Mathematics and statistics,7,7,4,Yes - broadband connection,Text messaging,121,110,8,35,0,20,0,0,15,15,50,10,22,3,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Friend,Other
USA,NC,2023,12,Female,17,Right-Handed,5’4,8,20,1,Car,25,6,7,None,1000,1000,1000,1000,1000,1000,12,Same length,10,2,Ring finger,April,Fall,Yes,No,Seafood,Water,Mathematics and statistics,6,12,2,Yes - other,Text messaging,60,70,0,18,2,5,0,4,5,4,12,10,44,5,A lot,Graduate degree,Other,Fly,Rich,Other,Health
USA,CA,2023,12,Male,17,Right-Handed,175,28,186,2,Car,6,0.298,46,Baseball/Softball,600,600,500,400,700,750,28,Same length,80,80,Same length,July,Spring,No,No,Meat,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Text messaging,10,10,2,2,5,2,8,2,3,2,20,2,16,3,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Business person,Health
USA,FL,2023,12,Male,18,Right-Handed,182,25.4,183,2,Car,20,0.705,38,Lacrosse,200,100,300,400,100,100,25.4,Same length,80,70,Ring finger,May,Summer,Yes,No,Meat,Water,English,7,12,5,Yes - other,In person,5,5,7,1,2,8,12,1,4,1,1,1,3,0,Some,Undergraduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Other
USA,NC,2023,11,Female,16,Right-Handed,182,27,78,1,Car,8,1.2,68,Swimming,759,503,497,503,802,813,26,Right foot,76,66,Index finger,July,Summer,Yes,No,Poultry,Water,Physical education,8,10,4,Yes - broadband connection,Cell phone,200,200,10,8,5,5,15,1,1,20,20,20,0,5,A lot,Undergraduate degree,Country,Invisibility,Happy,Doctor or nurse,Health
USA,MD,2023,12,Male,18,Right-Handed,178,28,180,2,Car,15,0.335,43,Tennis,500,200,500,800,700,800,29,Left foot,80,82,Ring finger,December,Fall,No,No,Meat,Water,Mathematics and statistics,8,8,6,Yes - other,Text messaging,20,30,20,5,4,8,10,0,0,3,10,7,0,2,Some,Graduate degree,Pop,Fly,Happy,Business person,Health
USA,SC,2023,11,Female,17,Right-Handed,1623,213,,2,Car,8,"0,313",33,Gymnastics,1000,1000,0,250,700,1000,214,Left foot,60,63,Ring finger,July,Summer,Yes,No,Rice/Noodle dishes,Water,Music,6.5,4,5,Yes - broadband connection,Internet chat or instant messaging,5,8,13,4,1,5,4,0,21,20,84,0,36,3,Very little,Some college,Rhythm and blues (R&B),Freeze time,Happy,Relative,International aid
USA,WA,2023,11,Female,16,Right-Handed,162.5,22.86,160,1,Car,6,0.456,53,Other,100,10,1000,1000,0,0,22.86,Same length,7.62,6.985,Index finger,June,Summer,No,No,Rice/Noodle dishes,Water,English,6,9-Aug,3,Yes - broadband connection,Text messaging,40,106,72,2,0,10,10,1,10,10,50,5,20,1,Very little,Graduate degree,Other,Telepathy,Happy,Relative,Health
