Year,Grade,State,Gender,Age,Height,Armspan,RightFoot,IndexFinger,TransMethod,CommuteTime,ReactionTime,MemoryTime,FavPhysAct,BirthMonth,FavSeason,FavSubj,SchoolNight,NonschoolNight,HomeOcc,PlannedEd,Superpower,RoleModel,Height_cm,Armspan_cm
2018,12,NC,Male,17,70.08,70.47,27,82,Car,10,0,48,Athletics,April,Fall,Computers and technology,7,9,6,Graduate degree,Freeze time,Sports person,178,179
2021,12,NC,Male,17,40.16,73.62,27,77,Bus,15,0,52,Soccer,July,Winter,History,8,9,5,Other,Fly,Doctor or nurse,102,187
2018,12,CA,Male,18,68.11,68.11,24.6,65,Car,5,0,50,Soccer,May,Summer,Physical education,7,10,5,Undergraduate degree,Telepathy,Friend,173,173
2021,12,MD,Male,17,68.9,74.8,26.7,80,Bus,20,0,32,Table Tennis,July,Winter,Mathematics and statistics,5,8,4,Graduate degree,Freeze time,Other,175,190
2019,12,OH,Male,18,66.93,65.35,25,70,Car,2,0,51,Running/Jogging,May,Summer,English,7,5,4,High school,Telepathy,Musician or singer,170,166
2021,12,CA,Male,17,71.65,74.8,31,76,Car,5,1,68,Baseball/Softball,June,Spring,Mathematics and statistics,7,8,5,Undergraduate degree,Super strength,Sports person,182,190
2019,12,TN,Female,17,66.14,66.14,23,70,Car,10,1,58,Baseball/Softball,May,Fall,Music,7,9,6,Graduate degree,Fly,Doctor or nurse,168,168
2022,10,PA,Female,15,67.01,67.52,25.91,60,Car,4,0,44,Swimming,August,Summer,Other,6,9,7,Graduate degree,Fly,Religious figure,170.2,171.5
2019,12,IA,Female,17,68.5,68.11,22,90,Car,5,0,43,Basketball,August,Winter,Mathematics and statistics,8,8,5,Graduate degree,Freeze time,Relative,174,173
2020,12,CT,Male,17,72.83,76.77,30,80,Car,10,0,43,Basketball,July,Fall,Physical education,6,9,5,Undergraduate degree,Freeze time,Sports person,185,195
2021,11,PA,Female,16,68.94,67.3,23.5,68,Car,6,0,37,Soccer,March,Fall,Science,5,8,5,Graduate degree,Fly,Religious figure,175.1,170.942
2021,12,OK,Male,17,72.83,75.59,34,95,Car,5,0,63,Golf,December,Fall,Mathematics and statistics,9,6,6,Graduate degree,Telepathy,Other,185,192
2019,10,OH,Female,15,61.02,61.02,20,90,Car,14,0,45,Other,March,Spring,Science,6,12,3,Graduate degree,Freeze time,Relative,155,155
2018,12,VA,Female,17,63.78,65.75,23,70,Car,25,0,36,Athletics,February,Fall,Physical education,7,9,3,Graduate degree,Freeze time,Actor,162,167
2019,9,CA,Male,15,66.54,70.08,28,78,Car,8,0,54,Other,December,Winter,Art,8,6,3,Graduate degree,Freeze time,Other,169,178
2021,12,CA,Female,17,65.35,60.04,24,80,Car,7,1,56,Tennis,July,Summer,Mathematics and statistics,5,7,3,Some college,Invisibility,Musician or singer,166,152.5
2022,11,NC,Female,17,65.35,68.5,23,90,Car,10,1,35,Athletics,May,Fall,Art,6.5,7.5,6,Graduate degree,Freeze time,Other,166,174
2018,11,NC,Female,17,62.99,61.02,23,75,Car,5,1,39,Running/Jogging,November,Summer,Mathematics and statistics,6,9,4,Other,Fly,Relative,160,155
2018,10,NC,Male,15,74.8,75.59,30,82,Car,10,0,30,Football (American),September,Fall,Mathematics and statistics,6,11,2,Graduate degree,Fly,Sports person,190,192
2019,10,IL,Male,15,63.78,62.6,26,70,Bus,15,0,39,Soccer,August,Summer,Physical education,8,6,5,Some college,Freeze time,Friend,162,159
2020,9,MI,Female,15,66.14,62.99,24,78,Car,13,0,70,None,August,Winter,History,8,10,4,Graduate degree,Telepathy,Friend,168,160
2021,11,NC,Female,17,64.17,62.6,23,82,Bus,10,0,29,Walking/Hiking,October,Winter,Science,6,10,4,Graduate degree,Fly,Musician or singer,163,159
2021,12,KS,Male,17,70.08,68.5,24,75,Car,15,0,39,Other,March,Spring,Science,4,12,4,Undergraduate degree,Freeze time,Other,178,174
2018,12,TN,Male,17,69.29,65.35,25.6,63,Bus,20,1,44,Walking/Hiking,June,Winter,Science,6,10,3,Graduate degree,Freeze time,Relative,176,166
2021,12,PA,Male,18,72.05,72.05,28,72,Car,10,0,52,None,August,Summer,Mathematics and statistics,6,8,4,Graduate degree,Telepathy,Relative,183,183
2018,9,NE,Female,14,63.98,60,13,74,Car,7,0,41,Walking/Hiking,August,Fall,Art,4,9,2,Some college,Telepathy,Relative,162.5,152.4
2018,12,VA,Female,17,65.91,64,28.3,70,Car,10,1,42,Other,September,Spring,Mathematics and statistics,5,9,3,Other,Invisibility,Religious figure,167.4,162.56
2020,12,MO,Male,17,69.69,72.05,38.5,99,Car,10,0,45,Baseball/Softball,July,Summer,Science,8,12,4,Undergraduate degree,Invisibility,Relative,177,183
2020,12,NC,Male,17,70.87,70.87,26,77,Car,20,1,41,Other,March,Summer,Science,7,9.5,4,Graduate degree,Freeze time,Sports person,180,180
2019,10,TX,Female,14,60.98,60.98,12.7,80,Car,30,1,59,Athletics,November,Summer,Mathematics and statistics,6,7,8,Graduate degree,Freeze time,Relative,154.9,154.9
2018,11,CA,Male,16,68.11,70.08,27,75,Car,15,0,36,Soccer,January,Summer,History,7,9,4,Graduate degree,Freeze time,Business person,173,178
2018,12,CA,Female,17,64.96,62.99,23,73,Car,10,0,41,Walking/Hiking,March,Winter,Languages,6,8,4,Graduate degree,Telepathy,Relative,165,160
2022,12,WA,Female,17,58.98,58.27,20,60,Car,10,0,47,Soccer,July,Summer,English,6,9,6,Some college,Invisibility,Friend,149.8,148
2019,12,CO,Male,16,75,72.64,26,78,Car,10,0,53,Hockey (Ice),August,Spring,Music,5,9,5,Some college,Fly,Teacher,190.5,184.5
2018,12,NY,Female,17,58.66,47.64,22,89,Railway,60,0,29,Swimming,June,Spring,Languages,8,11,4,Graduate degree,Telepathy,Actor,149,121
2021,12,MD,Female,17,70.87,54,16,130,Bus,30,0,59,Walking/Hiking,August,Fall,Social studies,6,6,4,Graduate degree,Telepathy,Other,180,137.16
2021,11,IN,Female,16,64.57,67.32,25,90,Car,10,0,38,Tennis,April,Fall,Art,8,9,3,Graduate degree,Freeze time,Politician,164,171
2021,11,MI,Female,17,62.2,65.75,25,80,Car,5,0,39,Other,April,Spring,Mathematics and statistics,6,12,4,Graduate degree,Telepathy,Relative,158,167
2019,12,NE,Female,17,65.75,62.99,21,76,Car,15,0,35,Swimming,July,Summer,Languages,6,10,4,Graduate degree,Freeze time,Doctor or nurse,167,160
2021,12,VA,Female,17,64.96,61.81,23.5,63.5,Car,10,0,41,Baseball/Softball,July,Fall,Science,6,8,4,Graduate degree,Telepathy,Religious figure,165,157
2020,12,PA,Male,17,68.5,68.5,25,89,Car,5,1,49,Other,July,Fall,Art,5,5,5,Graduate degree,Fly,Relative,174,174
2018,12,MA,Female,17,65.98,65,27.94,80,Bus,20,0,31,Table Tennis,April,Fall,Music,5,8,5,Graduate degree,Super strength,Relative,167.6,165.1
2020,11,MD,Female,17,65.75,64.17,24,88,Bus,20,0,40,Dancing,October,Summer,Science,6,10,5,Graduate degree,Invisibility,Friend,167,163
2022,12,OH,Male,18,66.97,66.14,27.5,80,Walk,20,0,32,Walking/Hiking,August,Summer,History,6,8,4,Undergraduate degree,Fly,Actor,170.1,168
2020,12,AZ,Male,18,63.78,66.14,25,90,Car,15,1,33,Soccer,December,Winter,Computers and technology,8,10,7,Some college,Invisibility,Relative,162,168
2019,11,TN,Male,18,59.84,59.84,24.5,76,Bus,10,0,47,Lacrosse,February,Winter,Mathematics and statistics,8,6,6,Some college,Freeze time,Teacher,152,152
2021,12,NC,Male,17,70.87,70.08,27,89.9,Bus,60,0,57,Baseball/Softball,January,Summer,Physical education,9,12,4,Some college,Super strength,Other,180,178
2019,12,IN,Male,15,71.65,72.05,25,76,Car,15,0,30,None,April,Fall,Science,6,5,6,Graduate degree,Invisibility,Musician or singer,182,183
2020,12,MA,Female,17,62.99,66.93,22,72,Bus,15,0,42,None,February,Winter,Computers and technology,5,9,4,Graduate degree,Telepathy,Musician or singer,160,170
2019,11,CA,Female,18,62.99,59.84,21,100,Bus,100,0,38,Swimming,December,Spring,Science,4,10,7,Graduate degree,Freeze time,Friend,160,152
2018,12,NC,Female,17,61.02,60,22.2,60,Car,7,1,33,Gymnastics,August,Summer,Science,5,9,5,Graduate degree,Telepathy,Doctor or nurse,155,152.4
2021,9,MI,Female,14,66.93,63.39,23,103,Car,25,0,34,Hockey (Ice),May,Fall,English,8,9,5,Graduate degree,Telepathy,Relative,170,161
2018,12,OH,Male,17,75,75.59,31,100,Car,6,0,40,Football (American),May,Fall,Mathematics and statistics,6,8,4,High school,Super strength,Business person,190.5,192
2022,12,AL,Female,18,68.98,39.37,25,76.2,Car,3,0,40,Lacrosse,December,Summer,Other,5,5,6,Graduate degree,Telepathy,Coach or club leader,175.2,100
2018,12,TX,Female,15,65.98,65.98,24.1,74,Car,15,1,24,Other,September,Summer,Music,8,9,3,Some college,Telepathy,Doctor or nurse,167.6,167.6
2020,10,IN,Female,15,68.11,67.72,27,69,Car,15,0,35,Soccer,July,Summer,Mathematics and statistics,9,7,4,Graduate degree,Telepathy,Sports person,173,172
2019,12,WA,Male,17,71.65,85.43,28,90,Car,17,0,57,Football (American),December,Summer,History,5,8,4,Graduate degree,Fly,Relative,182,217
2019,11,CT,Female,16,60,63.78,22.5,75,Bus,25,1,34,Walking/Hiking,June,Summer,English,8,8,4,Graduate degree,Invisibility,Friend,152.4,162
2019,12,FL,Male,18,75,75.98,38.1,50,Car,20,1,61,Football (American),March,Spring,History,8,9,4,Undergraduate degree,Invisibility,Relative,190.5,193
2018,12,NE,Female,16,65.75,66.93,25,72,Car,20,0,38,Soccer,January,Fall,Mathematics and statistics,6,9,8,Graduate degree,Freeze time,Relative,167,170
2021,12,CA,Female,17,67.32,63.78,25,76,Car,4,0,58,Running/Jogging,July,Summer,Music,7,8,6,Graduate degree,Freeze time,Religious figure,171,162
2021,12,PA,Female,17,68.5,68.11,27,80,Car,8,0,35,Golf,December,Fall,History,6,8,3,Undergraduate degree,Invisibility,Community leader or elder,174,173
2019,11,NC,Female,17,66.14,64.96,23,70,Car,10,0,37,Dancing,December,Summer,Science,5,8,4,Graduate degree,Fly,Relative,168,165
2019,12,CA,Female,17,61.81,59.06,20,70,Car,8,1,38,Walking/Hiking,March,Summer,English,7,9,4,Undergraduate degree,Telepathy,Actor,157,150
2021,12,NC,Male,16,71.97,67.99,27.94,75,Bus,27,0,63,Soccer,April,Winter,English,5,8,4,Other,Invisibility,Relative,182.8,172.7
2019,12,MA,Male,17,70.67,73.82,27,80,Car,5,0,50,Basketball,August,Spring,Physical education,8,12,3,Some college,Fly,Other,179.5,187.5
2021,12,NC,Female,18,64.17,66.54,23,70,Car,10,1,56,Soccer,March,Summer,Other,8,9,8,Graduate degree,Invisibility,Friend,163,169
2019,12,MN,Male,17,70.08,66.54,25.4,89,Car,7,0,31,None,March,Winter,Science,6,10,2,Graduate degree,Freeze time,Other,178,169
2022,11,SC,Female,17,64.96,41.34,26,50,Car,8,1,43,Walking/Hiking,June,Fall,Art,5,5,4,Undergraduate degree,Telepathy,Religious figure,165,105
2020,10,IN,Female,15,62.99,64,23,90,Bus,13,0,40,Dancing,February,Fall,Music,6,12,4,Graduate degree,Fly,Musician or singer,160,162.56
2018,11,NC,Female,16,67.72,62.99,25,75,Car,10,1,39,Skateboarding/Rollerblading,April,Summer,Art,7,6,5,Graduate degree,Freeze time,Friend,172,160
2019,12,CA,Female,16,66.93,72.44,26,67,Walk,20,0,34,Other,November,Winter,Science,6,10,4,Graduate degree,Freeze time,Other,170,184
2020,12,NC,Male,17,68.9,68.9,25,76,Bus,30,0,48,Walking/Hiking,August,Winter,History,7,11,5,Undergraduate degree,Telepathy,Community leader or elder,175,175
2019,9,NY,Male,14,68.9,74.02,29,80,Railway,25,2,88,Other,October,Summer,Social studies,8,6,5,Graduate degree,Freeze time,Sports person,175,188
2018,12,WI,Female,17,68.11,73,27,79,Car,4,1,39,Tennis,September,Summer,Other,7,10,5,Graduate degree,Fly,Community leader or elder,173,185.42
2020,12,TX,Female,17,65.98,60.63,23.5,71,Car,5,1,47,Other,July,Fall,Music,5,7,6,Graduate degree,Freeze time,Musician or singer,167.6,154
2019,12,CO,Female,18,70,69.57,25.5,80.2,Car,19,0,38,Other,October,Spring,Music,7.5,8,3,High school,Telepathy,Actor,177.8,176.7
2018,11,SC,Female,16,59.84,70,21,80,Car,5,1,52,Lacrosse,July,Spring,Art,5,7,4,Some college,Telepathy,Other,152,177.8
2019,9,CA,Female,15,59.84,61.81,23,60,Car,15,0,38,Soccer,March,Summer,Mathematics and statistics,8,10,4,Graduate degree,Fly,Relative,152,157
2021,11,IN,Male,14,70.08,62.99,31,70,Bus,40,0,47,Tennis,October,Fall,Physical education,7,10,4,Graduate degree,Freeze time,Relative,178,160
2019,12,AZ,Male,16,72.05,70.87,26,90,Car,15,0,45,Soccer,April,Winter,Mathematics and statistics,7,5,8,High school,Fly,Religious figure,183,180
2020,11,MD,Male,17,68.39,70.87,28,85,Bus,45,0,47,Soccer,December,Fall,Physical education,7,10,8,Graduate degree,Freeze time,Sports person,173.7,180
2018,12,SC,Female,17,64.17,75,24.5,102,Car,33,0,34,Other,February,Fall,Music,8,10,3,Graduate degree,Fly,Friend,163,190.5
2020,12,SC,Male,17,71.02,78.74,10.5,95,Car,25,0,55,Football (American),February,Spring,English,7,5,4,Graduate degree,Invisibility,Musician or singer,180.4,200
2021,9,SD,Male,15,68.5,68.9,26,80,Bus,25,1,60,Basketball,February,Summer,Physical education,8,10,4,Undergraduate degree,Invisibility,Relative,174,175
2019,9,CA,Male,15,64.96,66.14,28,70,Walk,7,0,44,Athletics,November,Winter,History,6,8,4,Graduate degree,Telepathy,Relative,165,168
2019,12,IN,Female,17,62.99,50.79,26,70,Car,12,1,41,Other,May,Summer,Art,7,10,3,Graduate degree,Telepathy,Musician or singer,160,129
2021,12,CA,Male,17,70.08,72.05,26,108,Car,8,0,32,Tennis,July,Summer,Mathematics and statistics,8,10,3,Graduate degree,Super strength,Relative,178,183
2018,12,KS,Female,17,61.81,61.42,20,65,Car,7,0,40,Swimming,October,Fall,Languages,8,8,5,Graduate degree,Fly,Relative,157,156
2022,12,AL,Male,18,61.42,59.06,27.5,60,Car,15,1,56,Running/Jogging,September,Fall,History,8,6,4,Graduate degree,Fly,Other,156,150
2019,12,NJ,Male,17,70.08,72.83,25,100,Walk,5,0,37,Soccer,March,Spring,Mathematics and statistics,6,10,6,Graduate degree,Super strength,Relative,178,185
2020,12,NC,Female,18,62.99,61.02,23,60,Car,10,0,53,Athletics,December,Fall,Social studies,6,10,3,Graduate degree,Telepathy,Relative,160,155
2022,11,MO,Female,17,59.45,58.66,22,77,Car,6,1,69,Walking/Hiking,November,Summer,History,9.5,9.5,6,Graduate degree,Freeze time,Friend,151,149
2021,12,NJ,Male,17,60,62.99,23.8,88.9,Car,4,0,38,None,May,Winter,Social studies,6,6,3,Other,Freeze time,Other,152.4,160
2021,12,CO,Female,18,66.93,67.32,25,78,Car,10,0,45,Soccer,January,Spring,Art,7,9,5,Undergraduate degree,Telepathy,Other,170,171
2019,11,GA,Male,15,74.8,76.77,29.4,102,Car,30,0,44,Other,July,Winter,Languages,6,10,4,Graduate degree,Fly,Other,190,195
2021,12,FL,Male,17,71.65,72.83,24,85,Car,38,0,52,Basketball,January,Winter,Mathematics and statistics,4,9,5,Graduate degree,Telepathy,Musician or singer,182,185
2018,12,CA,Female,15,64.17,64.57,23,90,Bus,60,0,34,Dancing,January,Spring,Other,7,10,5,Graduate degree,Freeze time,Other,163,164
2021,9,CA,Male,14,64.17,61.02,22,75,Walk,7,0,54,Running/Jogging,April,Winter,English,7,9,4,Undergraduate degree,Telepathy,Musician or singer,163,155
2021,12,IA,Male,16,69.29,71.26,27,112,Car,7,0,62,Tennis,November,Summer,History,7,10,4,Undergraduate degree,Invisibility,Relative,176,181
2019,12,OH,Male,18,75,75.79,33.02,88.9,Car,30,0,34,Basketball,October,Summer,Mathematics and statistics,5,8,3,Graduate degree,Invisibility,Musician or singer,190.5,192.5
2019,11,IN,Male,16,68.9,64.17,25,100,Car,7,0,34,Running/Jogging,March,Spring,Physical education,4,10,4,Graduate degree,Telepathy,Other,175,163
2019,12,OH,Male,18,72.05,72.05,29,80,Car,5,0,48,Football (American),November,Summer,Other,8,10,3,Undergraduate degree,Invisibility,Sports person,183,183
2019,11,MN,Female,16,68.11,66.93,25,90,Car,13,1,55,Tennis,May,Winter,English,8,9,4,Undergraduate degree,Fly,Relative,173,170
2022,12,TN,Male,17,70.47,74.8,29.5,90,Car,30,0,52,Basketball,June,Winter,History,4.5,8,4,Graduate degree,Freeze time,Other,179,190
2020,12,OK,Female,18,66.93,64.96,25,90,Car,6,0,43,Basketball,August,Fall,Physical education,5,8,3,Graduate degree,Invisibility,Teacher,170,165
2019,10,NC,Female,15,62.99,62.99,26,75,Car,20,0,33,Basketball,August,Fall,English,7,6,3,Graduate degree,Telepathy,Musician or singer,160,160
2019,12,NH,Male,17,69.29,64.96,25,75,Car,10,0,42,Golf,June,Summer,Science,8,8,3,Graduate degree,Invisibility,Sports person,176,165
2020,11,MT,Male,18,68.9,68.9,28,100,Car,10,0,35,Other,September,Fall,Other,6,9,5,Graduate degree,Freeze time,Other,175,175
2022,11,MO,Male,16,62.99,62.2,25,101,Car,3,0,49,Basketball,July,Summer,Science,6,10,3,Some college,Freeze time,Musician or singer,160,158
2020,12,NC,Female,17,65.98,62.99,22.86,63.5,Car,20,1,32,Other,February,Summer,Science,6,8,2,Graduate degree,Invisibility,Relative,167.6,160
2019,12,CA,Female,17,66.14,62.99,23,77,Car,11,0,35,Running/Jogging,March,Spring,Science,6,6,4,Graduate degree,Telepathy,Friend,168,160
2018,10,NC,Female,15,61.42,60.63,23,75,Car,26,0,48,Dancing,March,Spring,History,7.5,12,2,Graduate degree,Invisibility,Friend,156,154
2019,12,IN,Female,17,62.99,61.81,25,70,Car,6,0,40,Athletics,March,Fall,Science,6,10,6,Graduate degree,Telepathy,Relative,160,157
2018,10,IN,Female,15,70.87,70.87,28,80,Car,20,1,56,Soccer,May,Spring,Mathematics and statistics,7,10,5,Undergraduate degree,Super strength,Sports person,180,180
2020,12,CA,Male,16,68.9,70.87,27,78,Car,5,0,39,Basketball,September,Winter,Mathematics and statistics,7,9,3,Graduate degree,Super strength,Musician or singer,175,180
2019,12,NC,Female,17,68.9,59.06,26,80,Car,8,0,36,Walking/Hiking,May,Fall,Science,6.5,11,4,Other,Freeze time,Friend,175,150
2018,12,NY,Male,18,71.65,75.59,29.3,115,Railway,35,0,38,Football (American),April,Spring,Computers and technology,6,9,6,Graduate degree,Freeze time,Other,182,192
2018,11,CA,Female,17,61.81,62,22,64,Walk,8,0,45,Swimming,July,Winter,Art,6,9,4,Graduate degree,Freeze time,Relative,157,157.48
2020,12,OH,Female,18,64.96,70,25,76,Car,8,0,43,None,September,Fall,Music,6,10,5,Graduate degree,Telepathy,Politician,165,177.8
2022,11,NJ,Male,18,63.58,64,23,60,Bus,25,0,50,Baseball/Softball,January,Winter,Other,6,10,6,Less than high school,Invisibility,Relative,161.5,162.56
2018,12,NY,Female,17,60.83,69.29,23,70,Car,15,0,39,Swimming,March,Spring,Other,6.5,8,6,Undergraduate degree,Freeze time,Relative,154.5,176
2018,12,NJ,Female,17,58.98,48.26,22.5,70,Car,5,1,39,None,March,Fall,English,6,5,6,Graduate degree,Telepathy,Friend,149.8,122.5804
2020,10,IN,Female,15,66.93,64.96,23,82,Walk,4,1,46,Martial Arts,October,Fall,Mathematics and statistics,7,9,3,Graduate degree,Super strength,Relative,170,165
2020,12,VA,Female,18,67,64,22.5,87,Car,15,1,36,Dancing,February,Spring,Music,6,10,4,Graduate degree,Telepathy,Other,170.18,162.56
2020,12,CA,Female,18,58.27,55.16,20.2,70,Car,19,1,63,Basketball,October,Spring,Mathematics and statistics,7,10,5,Undergraduate degree,Invisibility,Relative,148,140.1
2021,12,NC,Female,17,66.14,68.11,24,76,Car,10,0,37,Soccer,February,Summer,Mathematics and statistics,8,10,3,Undergraduate degree,Telepathy,Relative,168,173
2018,12,CA,Male,18,77.99,71.26,26.67,85,Car,4,0,31,Golf,September,Spring,Geography,7,8,4,Undergraduate degree,Fly,Sports person,198.1,181
2018,12,PA,Male,17,71.14,71.5,27.8,105,Car,13,0,38,Golf,May,Summer,History,5,10,3,Graduate degree,Fly,Friend,180.7,181.6
2020,12,CA,Male,17,68.11,69,28,76,Car,5,0,43,Rowing,May,Winter,History,7,7,4,Graduate degree,Telepathy,Musician or singer,173,175.26
2018,12,IA,Female,17,66.14,62.2,25,70,Car,5,0,40,Running/Jogging,November,Fall,Physical education,5,6,3,Other,Fly,Coach or club leader,168,158
2020,11,IN,Female,15,62.99,59.06,25.4,88,Car,15,1,39,Baseball/Softball,May,Fall,Science,8,4,7,Graduate degree,Telepathy,Coach or club leader,160,150
2021,12,IN,Female,17,62.2,62.2,22,80,Car,15,1,42,Basketball,April,Summer,History,4.5,7,4,Graduate degree,Freeze time,Relative,158,158
2021,12,FL,Female,17,64.96,65.35,21.7,60,Car,15,1,54,None,July,Summer,History,6,10,4,Graduate degree,Invisibility,Musician or singer,165,166
2021,12,OK,Female,17,66.93,68.5,24,72,Car,28,0,37,Soccer,January,Summer,Science,5,11,5,Graduate degree,Telepathy,Relative,170,174
2019,11,TN,Female,17,62.99,61.42,23,80,Car,7,0,43,Gymnastics,December,Summer,Science,8,6,6,Graduate degree,Invisibility,Doctor or nurse,160,156
2020,12,MD,Male,16,64.17,59.84,23.5,80,Car,10,0,36,Swimming,October,Fall,History,8,9,4,Undergraduate degree,Telepathy,Actor,163,152
